timestamp,value,volume
2022-05-27,28629.80,90998.52010000
2022-05-28,29031.33,34479.35127000
2022-05-29,29468.10,27567.34764000
2022-05-30,31734.22,96785.94760000
2022-05-31,31801.04,62433.11632000
2022-06-01,29805.83,103395.63382000
2022-06-02,30452.62,56961.42928000
2022-06-03,29700.21,54067.44727000
2022-06-04,29864.04,25617.90113000
2022-06-05,29919.21,23139.92810000
2022-06-06,31373.10,68836.92456000
2022-06-07,31125.33,110674.51658000
2022-06-08,30204.77,68542.61276000
2022-06-09,30109.93,46291.18650000
2022-06-10,29091.88,76204.24980000
2022-06-11,28424.70,65901.39895000
2022-06-12,26574.53,92474.59880900
2022-06-13,22487.41,254611.03496600
2022-06-14,22136.41,187201.64671000
2022-06-15,22583.72,200774.49346700
2022-06-16,20401.31,99673.59429000
2022-06-17,20468.81,86694.33663000
2022-06-18,18970.79,196441.65552400
2022-06-19,20574.00,128320.87595000
2022-06-20,20573.89,109028.94154000
2022-06-21,20723.52,104371.07490000
2022-06-22,19987.99,92133.97938000
2022-06-23,21110.13,83127.08716000
2022-06-24,21237.69,77430.36622000
2022-06-25,21491.19,51431.67794000
2022-06-26,21038.07,53278.10464000
2022-06-27,20742.56,64475.00130000
2022-06-28,20281.29,63801.08320000
2022-06-29,20123.01,77309.04379000
2022-06-30,19942.21,93846.64806000
2022-07-01,19279.80,111844.59494000
2022-07-02,19252.81,46180.30210000
2022-07-03,19315.83,51087.46631000
2022-07-04,20236.71,74814.04601000
2022-07-05,20175.83,96041.13756000
2022-07-06,20564.51,82439.58080000
2022-07-07,21624.98,85014.58261000
2022-07-08,21594.75,403081.57349000
2022-07-09,21591.83,178417.84468000
2022-07-10,20862.47,192188.21556000
2022-07-11,19963.61,137535.40724000
2022-07-12,19328.75,139506.45862000
2022-07-13,20234.87,209250.24888000
2022-07-14,20588.84,174809.21696000
2022-07-15,20830.04,143343.30490000
2022-07-16,21195.60,121011.67393000
2022-07-17,20798.16,118229.45250000
2022-07-18,22432.58,239942.73132000
2022-07-19,23396.62,263770.76574000
2022-07-20,23223.30,238762.17094000
2022-07-21,23152.19,184817.68191000
2022-07-22,22684.83,171598.43966000
2022-07-23,22451.07,122137.77375000
2022-07-24,22579.68,115189.67277000
2022-07-25,21310.90,180344.76643000
2022-07-26,21254.67,177817.24326000
2022-07-27,22952.45,210971.19796000
2022-07-28,23842.93,236029.07410000
2022-07-29,23773.75,198298.50623000
2022-07-30,23643.51,151060.13211000
2022-07-31,23293.32,127743.32483000
2022-08-01,23268.01,144210.16219000
2022-08-02,22987.79,158073.28225000
2022-08-03,22818.37,145948.80995000
2022-08-04,22622.98,154854.67016000
2022-08-05,23312.42,175251.69749000
2022-08-06,22954.21,83911.80307000
2022-08-07,23174.39,88890.00877000
2022-08-08,23810.00,170958.44152000
2022-08-09,23149.95,143182.50858000
2022-08-10,23954.05,208916.54953000
2022-08-11,23934.39,249759.79557000
2022-08-12,24403.68,174207.57040000
2022-08-13,24441.38,152852.25435000
2022-08-14,24305.24,151206.14473000
2022-08-15,24094.82,242539.54758000
2022-08-16,23854.74,179324.94821000
2022-08-17,23342.66,210668.68766000
2022-08-18,23191.20,144185.97011000
2022-08-19,20834.39,283995.87747000
2022-08-20,21140.07,183041.68363000
2022-08-21,21515.61,159200.68410000
2022-08-22,21399.83,222222.04526000
2022-08-23,21529.12,200967.77164000
2022-08-24,21368.08,174383.22046000
2022-08-25,21559.04,169915.78301000
2022-08-26,20241.05,273811.61955000
2022-08-27,20037.60,162582.46032000
2022-08-28,19555.61,139307.95976000
2022-08-29,20285.73,210509.49545000
2022-08-30,19811.66,256634.35529000
2022-08-31,20050.02,276946.60765000
2022-09-01,20131.46,245289.97263000
2022-09-02,19951.86,245986.60330000
2022-09-03,19831.90,146639.03204000
2022-09-04,20000.30,145588.77893000
2022-09-05,19796.84,222543.01057000
2022-09-06,18790.61,356315.05718000
2022-09-07,19292.84,287394.77880000
2022-09-08,19319.77,262813.28273000
2022-09-09,21360.11,428919.74652000
2022-09-10,21648.34,307997.33504000
2022-09-11,21826.87,280702.55149000
2022-09-12,22395.74,395395.61828000
2022-09-13,20173.57,431915.03333000
2022-09-14,20226.71,340826.40151000
2022-09-15,19701.88,333069.76076000
2022-09-16,19803.30,283791.07064000
2022-09-17,20113.62,179350.24338000
2022-09-18,19416.18,254217.46904000
2022-09-19,19537.02,380512.40306000
2022-09-20,18875.00,324098.32860000
2022-09-21,18461.36,385034.10021000
2022-09-22,19401.63,379321.72111000
2022-09-23,19289.91,385886.91829000
2022-09-24,18920.50,239496.56746000
2022-09-25,18807.38,191191.44920000
2022-09-26,19227.82,439239.21943000
2022-09-27,19079.13,593260.74161000
2022-09-28,19412.82,521385.45547000
2022-09-29,19591.51,406424.93256000
2022-09-30,19422.61,444322.95340000
2022-10-01,19310.95,165625.13959000
2022-10-02,19056.80,206812.47032000
2022-10-03,19629.08,293585.75212000
2022-10-04,20337.82,327012.00127000
2022-10-05,20158.26,312239.75224000
2022-10-06,19960.67,320122.17020000
2022-10-07,19530.09,220874.83913000
2022-10-08,19417.96,102480.09842000
2022-10-09,19439.02,113900.82681000
2022-10-10,19131.87,212509.09849000
2022-10-11,19060.00,243473.84286000
2022-10-12,19155.53,213826.26731000
2022-10-13,19375.13,399756.68337000
2022-10-14,19176.93,351634.32601000
2022-10-15,19069.39,113847.64232000
2022-10-16,19262.98,131894.61885000
2022-10-17,19549.86,222813.87634000
2022-10-18,19327.44,260313.07848000
2022-10-19,19123.97,186137.29538000
2022-10-20,19041.92,223530.13068000
2022-10-21,19164.37,269310.75769000
2022-10-22,19204.35,110403.90837000
2022-10-23,19570.40,167057.20184000
2022-10-24,19329.72,256168.14467000
2022-10-25,20080.07,326370.67061000
2022-10-26,20771.59,380492.69576000
2022-10-27,20295.11,328643.57791000
2022-10-28,20591.84,287039.94569000
2022-10-29,20809.67,254881.77755000
2022-10-30,20627.48,192795.60886000
2022-10-31,20490.74,303567.61628000
2022-11-01,20483.62,279932.43771000
2022-11-02,20151.84,373716.27299000
2022-11-03,20207.82,319185.15440000
2022-11-04,21148.52,453694.39165000
2022-11-05,21299.37,245621.98525000
2022-11-06,20905.58,230036.97217000
2022-11-07,20591.13,386977.60337000
2022-11-08,18547.23,760705.36278300
2022-11-09,15922.81,731926.92972900
2022-11-10,17601.15,608448.36432000
2022-11-11,17070.31,393552.86492000
2022-11-12,16812.08,167819.96035000
2022-11-13,16329.85,184960.78846000
2022-11-14,16619.46,380210.77750000
2022-11-15,16900.57,282461.84391000
2022-11-16,16662.76,261493.40809000
2022-11-17,16692.56,228038.97873000
2022-11-18,16700.45,214224.18184000
2022-11-19,16700.68,104963.15558000
2022-11-20,16280.23,154842.13478000
2022-11-21,15781.29,324096.99775300
2022-11-22,16226.94,239548.06623000
2022-11-23,16603.11,264927.70408000
2022-11-24,16598.95,206565.92346000
2022-11-25,16522.14,182089.49533000
2022-11-26,16458.57,181804.81666000
2022-11-27,16428.78,162025.47607000
2022-11-28,16212.91,252695.40367000
2022-11-29,16442.53,248106.25009000
2022-11-30,17163.64,303019.80719000
2022-12-01,16977.37,232818.18218000
2022-12-02,17092.74,202372.20620000
2022-12-03,16885.20,154542.57306000
2022-12-04,17105.70,178619.13387000
2022-12-05,16966.35,233703.29225000
2022-12-06,17088.96,218730.76883000
2022-12-07,16836.64,220657.41334000
2022-12-08,17224.10,236417.97804000
2022-12-09,17128.56,238422.06465000
2022-12-10,17127.49,140573.97937000
2022-12-11,17085.05,155286.47871000
2022-12-12,17209.83,226227.49694000
2022-12-13,17774.70,284462.91390000
2022-12-14,17803.15,266681.22209000
2022-12-15,17356.34,223701.96882000
2022-12-16,16632.12,253379.04116000
2022-12-17,16776.52,144825.66684000
2022-12-18,16738.21,112619.31646000
2022-12-19,16438.88,179094.28305000
2022-12-20,16895.56,248808.92324000
2022-12-21,16824.67,156810.96362000
2022-12-22,16821.43,176044.27235000
2022-12-23,16778.50,161612.00947000
2022-12-24,16836.12,100224.29096000
2022-12-25,16832.11,125441.07202000
2022-12-26,16919.39,124564.00656000
2022-12-27,16706.36,173749.58616000
2022-12-28,16547.31,193037.56577000
2022-12-29,16633.47,160998.47158000
2022-12-30,16607.48,164916.31174000
2022-12-31,16542.40,114490.42864000
2023-01-01,16616.75,96925.41374000
2023-01-02,16672.87,121888.57191000
2023-01-03,16675.18,159541.53733000
2023-01-04,16850.36,220362.18862000
2023-01-05,16831.85,163473.56641000
2023-01-06,16950.65,207401.28415000
2023-01-07,16943.57,104526.56880000
2023-01-08,17127.83,135155.89695000
2023-01-09,17178.26,266211.52723000
2023-01-10,17440.66,221382.42581000
2023-01-11,17943.26,262221.60653000
2023-01-12,18846.62,454568.32178000
2023-01-13,19930.01,368615.87823000
2023-01-14,20954.92,393913.74951000
2023-01-15,20871.50,178542.22549000
2023-01-16,21185.65,293078.08262000
2023-01-17,21134.81,275407.74409000
2023-01-18,20677.47,350916.01949000
2023-01-19,21071.59,251385.84925000
2023-01-20,22667.21,338079.13659000
2023-01-21,22783.55,346445.48432000
2023-01-22,22707.88,253577.75286000
2023-01-23,22916.45,293588.37938000
2023-01-24,22632.89,293158.78254000
2023-01-25,23060.94,346042.83223000
2023-01-26,23009.65,288924.43581000
2023-01-27,23074.16,280833.86315000
2023-01-28,23022.60,148115.71085000
2023-01-29,23742.30,295688.79204000
2023-01-30,22826.15,302405.90121000
2023-01-31,23125.13,264649.34909000
2023-02-01,23732.66,310790.42271000
2023-02-02,23488.94,364177.20751000
2023-02-03,23431.90,332571.02904000
2023-02-04,23326.84,166126.47295000
2023-02-05,22932.91,209251.33917000
2023-02-06,22762.52,265371.60690000
2023-02-07,23240.46,308006.72482000
2023-02-08,22963.00,280056.30717000
2023-02-09,21796.35,402894.69550000
2023-02-10,21625.19,338591.94247000
2023-02-11,21862.55,177021.58433000
2023-02-12,21783.54,204435.65163000
2023-02-13,21773.97,295730.76791000
2023-02-14,22199.84,361958.40109000
2023-02-15,24324.05,375669.16111000
2023-02-16,23517.72,450080.68366000
2023-02-17,24569.97,496813.21376000
2023-02-18,24631.95,216917.25213000
2023-02-19,24271.76,300395.99542000
2023-02-20,24842.20,346938.56997000
2023-02-21,24452.16,376000.82868000
2023-02-22,24182.21,379425.75365000
2023-02-23,23940.20,398400.45437000
2023-02-24,23185.29,343582.57453000
2023-02-25,23157.07,191311.81010000
2023-02-26,23554.85,202323.73623000
